sentence_id,words,labels
0,Hoverla,B-MOUNTAIN
0,the,O
0,highest,O
0,peak,O
0,in,O
0,the,O
0,Carpathian,O
0,"Mountains,",O
0,offers,O
0,breathtaking,O
0,views,O
0,of,O
0,the,O
0,surrounding,O
0,landscape.,O
1,Sinyak,B-MOUNTAIN
1,is,O
1,a,O
1,challenging,O
1,mountain,O
1,to,O
1,"climb,",O
1,but,O
1,the,O
1,sense,O
1,of,O
1,accomplishment,O
1,at,O
1,the,O
1,summit,O
1,is,O
1,worth,O
1,the,O
1,effort.,O
2,Makovytsia,B-MOUNTAIN
2,with,O
2,its,O
2,lush,O
2,green,O
2,"slopes,",O
2,is,O
2,a,O
2,haven,O
2,for,O
2,nature,O
2,enthusiasts,O
2,and,O
2,hikers,O
2,alike.,O
3,Petros,B-MOUNTAIN
3,standing,O
3,proudly,O
3,in,O
3,the,O
3,"distance,",O
3,beckons,O
3,adventurers,O
3,to,O
3,explore,O
3,its,O
3,rugged,O
3,trails.,O
4,Shpici,B-MOUNTAIN
4,although,O
4,not,O
4,as,O
4,"well-known,",O
4,has,O
4,its,O
4,own,O
4,unique,O
4,charm,O
4,and,O
4,allure,O
4,for,O
4,those,O
4,seeking,O
4,solitude.,O
5,Exploring,O
5,the,O
5,dense,O
5,forests,O
5,around,O
5,Hoverla,B-MOUNTAIN
5,reveals,O
5,a,O
5,diverse,O
5,ecosystem,O
5,of,O
5,flora,O
5,and,O
5,fauna.,O
6,Sinyak,B-MOUNTAIN
6,rocky,O
6,terrain,O
6,poses,O
6,a,O
6,thrilling,O
6,adventure,O
6,for,O
6,rock,O
6,climbers,O
6,seeking,O
6,an,O
6,adrenaline,O
6,rush.,O
7,Makovytsia,B-MOUNTAIN
7,surrounded,O
7,by,O
7,alpine,O
7,"meadows,",O
7,is,O
7,a,O
7,picturesque,O
7,destination,O
7,for,O
7,a,O
7,relaxing,O
7,getaway.,O
8,Petros,B-MOUNTAIN
8,is,O
8,often,O
8,shrouded,O
8,in,O
8,"mist,",O
8,adding,O
8,an,O
8,air,O
8,of,O
8,mystery,O
8,to,O
8,its,O
8,already,O
8,majestic,O
8,presence.,O
9,Shpici,B-MOUNTAIN
9,serene,O
9,surroundings,O
9,make,O
9,it,O
9,an,O
9,ideal,O
9,spot,O
9,for,O
9,meditation,O
9,and,O
9,self-reflection.,O
10,Nestled,O
10,in,O
10,the,O
10,"Carpathians,",O
10,Hoverla,B-MOUNTAIN
10,is,O
10,a,O
10,hotspot,O
10,for,O
10,both,O
10,winter,O
10,and,O
10,summer,O
10,outdoor,O
10,activities.,O
11,Sinyak,B-MOUNTAIN
11,snow-capped,O
11,peaks,O
11,create,O
11,a,O
11,stunning,O
11,contrast,O
11,against,O
11,the,O
11,deep,O
11,blue,O
11,sky.,O
12,Makovytsia,B-MOUNTAIN
12,known,O
12,for,O
12,its,O
12,"wildflowers,",O
12,becomes,O
12,a,O
12,vibrant,O
12,tapestry,O
12,during,O
12,the,O
12,spring,O
12,season.,O
13,Petros,B-MOUNTAIN
13,with,O
13,its,O
13,imposing,O
13,"cliffs,",O
13,is,O
13,a,O
13,popular,O
13,destination,O
13,for,O
13,daredevil,O
13,climbers.,O
14,Shpici,B-MOUNTAIN
14,remote,O
14,location,O
14,attracts,O
14,intrepid,O
14,explorers,O
14,seeking,O
14,untouched,O
14,wilderness.,O
15,Hoverla,B-MOUNTAIN
15,summit,O
15,provides,O
15,an,O
15,unobstructed,O
15,panorama,O
15,of,O
15,the,O
15,surrounding,O
15,mountain,O
15,range.,O
16,Sinyak,B-MOUNTAIN
16,valleys,O
16,are,O
16,home,O
16,to,O
16,pristine,O
16,streams,O
16,and,O
16,cascading,O
16,"waterfalls,",O
16,adding,O
16,to,O
16,its,O
16,allure.,O
17,Makovytsia,B-MOUNTAIN
17,trails,O
17,wind,O
17,through,O
17,ancient,O
17,"forests,",O
17,revealing,O
17,the,O
17,mountain's,O
17,rich,O
17,biodiversity.,O
18,Petros,B-MOUNTAIN
18,with,O
18,its,O
18,challenging,O
18,"ascent,",O
18,is,O
18,a,O
18,favorite,O
18,among,O
18,mountaineering,O
18,enthusiasts.,O
19,Shpici,B-MOUNTAIN
19,alpine,O
19,lakes,O
19,are,O
19,hidden,O
19,"gems,",O
19,offering,O
19,a,O
19,peaceful,O
19,retreat,O
19,for,O
19,nature,O
19,lovers.,O
20,Hoverla,B-MOUNTAIN
20,standing,O
20,"tall,",O
20,is,O
20,a,O
20,symbol,O
20,of,O
20,the,O
20,natural,O
20,beauty,O
20,that,O
20,the,O
20,Carpathian,O
20,Mountains,O
20,hold.,O
21,Sinyak,B-MOUNTAIN
21,rugged,O
21,beauty,O
